"","animal_id_intake","intake_type","intake_condition","time_in_shelter_days","animal_type","sex_upon_intake","age_upon_intake_(years)","age_upon_intake_age_group","breed","color","outcome_type","age","time_in_shelter_months","time_in_shelter_weeks","binary","trinary","fixed_or_not"
"16702","A684720","Owner Surrender","Normal",0,"Dog","Male",7,"(5.0, 7.5]","Chihuahua Shorthair","Brown","Adoption",7,0,0,0,"under_one_month","Fixed"
"16703","A684720","Stray","Normal",5,"Dog","Male",4,"(2.5, 5.0]","Chihuahua Shorthair","Brown","Adoption",4,0,1,0,"under_one_month","Intact"
"16704","A684736","Stray","Normal",3,"Dog","Female",0.328767123287671,"(-0.025, 2.5]","Australian Shepherd Mix","Brown","Transfer",0.3,0,0,0,"under_one_month","Intact"
"16705","A684744","Stray","Injured",1,"Cat","Female",0.246575342465753,"(-0.025, 2.5]","Domestic Shorthair Mix","Calico","Return to Owner",0.2,0,0,0,"under_one_month","Intact"
"16706","A684746","Stray","Normal",1,"Cat","Female",4,"(2.5, 5.0]","Domestic Shorthair Mix","Brown Tabby","Transfer",4,0,0,0,"under_one_month","Intact"
"16707","A684758","Stray","Normal",2,"Dog","Female",1,"(-0.025, 2.5]","Chihuahua Longhair","Brown","Return to Owner",1,0,0,0,"under_one_month","Fixed"
"16708","A684764","Stray","Normal",4,"Cat","Male",0.328767123287671,"(-0.025, 2.5]","Siamese Mix","Flame Point","Adoption",0.3,0,1,0,"under_one_month","Intact"
"16709","A684795","Stray","Nursing",0,"Cat","Male",0.0383561643835617,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Transfer",0,0,0,0,"under_one_month","Intact"
"16710","A684839","Stray","Normal",1,"Cat","Female",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",1,0,0,0,"under_one_month","Intact"
"16711","A684860","Stray","Normal",0,"Cat","Female",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16712","A684918","Stray","Normal",10,"Dog","Female",1,"(-0.025, 2.5]","German Shepherd","Black","Adoption",1,0,1,0,"under_one_month","Intact"
"16713","A684970","Stray","Normal",45,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Siamese Mix","Lynx Point","Adoption",0.1,1,6,1,"one_month","Intact"
"16714","A684975","Owner Surrender","Normal",3,"Dog","Male",6,"(5.0, 7.5]","German Shepherd","Brown","Euthanasia",6,0,0,0,"under_one_month","Intact"
"16715","A684986","Owner Surrender","Normal",4,"Cat","Male",2,"(-0.025, 2.5]","Siamese Mix","Flame Point","Adoption",2,0,1,0,"under_one_month","Fixed"
"16716","A684997","Public Assist","Normal",10,"Dog","Male",0.328767123287671,"(-0.025, 2.5]","Shih Tzu","White","Return to Owner",0.3,0,1,0,"under_one_month","Intact"
"16717","A685023","Stray","Normal",3,"Dog","Male",15,"(12.5, 15.0]","Chihuahua Shorthair Mix","Tan","Adoption",15,0,0,0,"under_one_month","Intact"
"16718","A685051","Stray","Normal",1,"Cat","Male",0.246575342465753,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.2,0,0,0,"under_one_month","Intact"
"16719","A685064","Owner Surrender","Normal",19,"Cat","Female",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",1,1,3,1,"one_month","Fixed"
"16720","A685065","Owner Surrender","Normal",15,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.1,0,2,0,"under_one_month","Intact"
"16721","A685067","Stray","Normal",13,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue Tabby","Adoption",0.1,0,2,0,"under_one_month","Intact"
"16722","A685077","Stray","Normal",12,"Dog","Male",0.575342465753425,"(-0.025, 2.5]","Jack Russell Terrier","Brown Brindle","Adoption",0.6,0,2,0,"under_one_month","Intact"
"16723","A685080","Stray","Normal",28,"Dog","Male",0.904109589041096,"(-0.025, 2.5]","Border Collie Mix","Black","Adoption",0.9,1,4,1,"one_month","Intact"
"16724","A685092","Stray","Injured",0,"Cat","Female",0.575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Gray","Euthanasia",0.6,0,0,0,"under_one_month","Intact"
"16725","A685097","Stray","Injured",19,"Dog","Female",5,"(2.5, 5.0]","Miniature Poodle Mix","White","Adoption",5,1,3,1,"one_month","Intact"
"16726","A685100","Stray","Normal",4,"Dog","Female",1,"(-0.025, 2.5]","Miniature Poodle Mix","Buff","Adoption",1,0,1,0,"under_one_month","Intact"
"16727","A685101","Stray","Normal",5,"Dog","Female",1,"(-0.025, 2.5]","Pit Bull","White","Return to Owner",1,0,1,0,"under_one_month","Intact"
"16728","A685107","Stray","Normal",31,"Cat","Female",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.1,1,4,1,"one_month","Intact"
"16729","A685112","Stray","Normal",4,"Dog","Female",2,"(-0.025, 2.5]","Pit Bull Mix","Black","Return to Owner",2,0,1,0,"under_one_month","Fixed"
"16730","A685118","Stray","Normal",2,"Dog","Male",3,"(2.5, 5.0]","Boxer Mix","Brown","Return to Owner",3,0,0,0,"under_one_month","Intact"
"16731","A685147","Owner Surrender","Normal",12,"Cat","Male",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",1,0,2,0,"under_one_month","Fixed"
"16732","A685151","Owner Surrender","Normal",23,"Cat","Male",0.657534246575342,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Transfer",0.7,1,3,1,"one_month","Intact"
"16733","A685209","Stray","Normal",41,"Dog","Female",0.657534246575342,"(-0.025, 2.5]","Pharaoh Hound Mix","Black","Transfer",0.7,1,6,1,"one_month","Intact"
"16734","A685214","Stray","Normal",22,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Medium Hair Mix","Calico","Adoption",0.1,1,3,1,"one_month","Intact"
"16735","A685225","Stray","Normal",2,"Dog","Female",2,"(-0.025, 2.5]","Chow Chow","Red","Return to Owner",2,0,0,0,"under_one_month","Intact"
"16736","A685275","Stray","Normal",35,"Dog","Female",4,"(2.5, 5.0]","Chihuahua Shorthair","Brown","Adoption",4,1,5,1,"one_month","Fixed"
"16737","A685282","Stray","Nursing",0,"Cat","Male",0.0191780821917808,"(-0.025, 2.5]","Domestic Shorthair Mix","Cream Tabby","Transfer",0,0,0,0,"under_one_month","Intact"
"16738","A685298","Owner Surrender","Normal",1,"Cat","Female",4,"(2.5, 5.0]","Siamese Mix","Lynx Point","Adoption",4,0,0,0,"under_one_month","Fixed"
"16739","A685365","Stray","Normal",16,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.1,1,2,1,"one_month","Intact"
"16740","A685387","Owner Surrender","Normal",23,"Dog","Female",2,"(-0.025, 2.5]","Pointer","White","Adoption",2,1,3,1,"one_month","Fixed"
"16741","A685421","Stray","Sick",0,"Cat","Female",8,"(7.5, 10.0]","Domestic Shorthair Mix","Calico","Euthanasia",8,0,0,0,"under_one_month","Fixed"
"16742","A685423","Stray","Normal",0,"Cat","Male",12,"(10.0, 12.5]","Domestic Shorthair Mix","Brown Tabby","Euthanasia",12,0,0,0,"under_one_month","Fixed"
"16743","A685434","Stray","Normal",203,"Dog","Male",0.575342465753425,"(-0.025, 2.5]","Boxer Mix","White","Adoption",0.6,7,29,1,"over one month","Intact"
"16744","A685457","Stray","Normal",17,"Dog","Female",0.328767123287671,"(-0.025, 2.5]","Labrador Retriever Mix","Black","Adoption",0.3,1,2,1,"one_month","Intact"
"16745","A685488","Stray","Normal",1,"Cat","Female",0.575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue","Transfer",0.6,0,0,0,"under_one_month","Intact"
"16746","A685496","Stray","Normal",1,"Cat","Female",0.246575342465753,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.2,0,0,0,"under_one_month","Intact"
"16747","A685497","Stray","Normal",1,"Cat","Female",0.246575342465753,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.2,0,0,0,"under_one_month","Intact"
"16748","A685506","Stray","Normal",0,"Cat","Female",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Calico","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16749","A685528","Stray","Normal",2,"Dog","Female",3,"(2.5, 5.0]","German Shepherd Mix","Black","Return to Owner",3,0,0,0,"under_one_month","Intact"
"16750","A685528","Public Assist","Normal",10,"Dog","Female",3,"(2.5, 5.0]","German Shepherd Mix","Black","Return to Owner",3,0,1,0,"under_one_month","Intact"
"16751","A685531","Stray","Normal",11,"Dog","Male",1,"(-0.025, 2.5]","Pit Bull Mix","Black","Adoption",1,0,2,0,"under_one_month","Intact"
"16752","A685577","Stray","Normal",2,"Dog","Male",1,"(-0.025, 2.5]","Border Collie Mix","Black","Return to Owner",1,0,0,0,"under_one_month","Fixed"
"16753","A685597","Stray","Normal",4,"Dog","Male",0.164383561643836,"(-0.025, 2.5]","Jack Russell Terrier Mix","Tricolor","Adoption",0.2,0,1,0,"under_one_month","Intact"
"16754","A685615","Owner Surrender","Sick",0,"Dog","Female",0.0821917808219178,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Brown","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16755","A685651","Stray","Normal",1,"Cat","Female",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",1,0,0,0,"under_one_month","Intact"
"16756","A685652","Stray","Normal",1,"Cat","Female",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue","Transfer",1,0,0,0,"under_one_month","Intact"
"16757","A685695","Owner Surrender","Normal",47,"Cat","Female",0.821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.8,2,7,1,"over one month","Fixed"
"16758","A685696","Stray","Normal",185,"Cat","Female",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.1,6,26,1,"over one month","Intact"
"16759","A685705","Stray","Normal",1,"Cat","Female",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Black Tabby","Transfer",1,0,0,0,"under_one_month","Intact"
"16760","A685804","Stray","Normal",5,"Dog","Male",3,"(2.5, 5.0]","Cardigan Welsh Corgi Mix","Tricolor","Adoption",3,0,1,0,"under_one_month","Intact"
"16761","A685816","Stray","Injured",0,"Cat","Female",4,"(2.5, 5.0]","Domestic Shorthair Mix","Tortie","Euthanasia",4,0,0,0,"under_one_month","Fixed"
"16762","A685838","Stray","Normal",1,"Dog","Male",1,"(-0.025, 2.5]","Pit Bull Mix","Blue","Return to Owner",1,0,0,0,"under_one_month","Intact"
"16763","A685877","Stray","Normal",4,"Dog","Male",0.246575342465753,"(-0.025, 2.5]","Labrador Retriever Mix","Cream","Adoption",0.2,0,1,0,"under_one_month","Intact"
"16764","A685930","Stray","Injured",1,"Cat","Female",5,"(2.5, 5.0]","Domestic Shorthair Mix","Brown Tabby","Return to Owner",5,0,0,0,"under_one_month","Fixed"
"16765","A685958","Owner Surrender","Normal",5,"Dog","Male",0.328767123287671,"(-0.025, 2.5]","Beagle Mix","White","Transfer",0.3,0,1,0,"under_one_month","Fixed"
"16766","A685958","Stray","Normal",4,"Dog","Male",0.328767123287671,"(-0.025, 2.5]","Beagle Mix","White","Adoption",0.3,0,1,0,"under_one_month","Intact"
"16767","A685986","Stray","Normal",4,"Dog","Male",9,"(7.5, 10.0]","West Highland Mix","White","Euthanasia",9,0,1,0,"under_one_month","Intact"
"16768","A685997","Owner Surrender","Normal",5,"Dog","Female",2,"(-0.025, 2.5]","Labrador Retriever","Black","Transfer",2,0,1,0,"under_one_month","Fixed"
"16769","A686002","Stray","Normal",0,"Dog","Male",5,"(2.5, 5.0]","German Shepherd Mix","Black","Return to Owner",5,0,0,0,"under_one_month","Intact"
"16770","A686077","Stray","Normal",1,"Cat","Male",0.328767123287671,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.3,0,0,0,"under_one_month","Intact"
"16771","A686092","Owner Surrender","Normal",23,"Cat","Male",2,"(-0.025, 2.5]","Domestic Shorthair","Orange Tabby","Adoption",2,1,3,1,"one_month","Fixed"
"16772","A686140","Stray","Normal",4,"Dog","Female",0.73972602739726,"(-0.025, 2.5]","German Shepherd","Black","Adoption",0.7,0,1,0,"under_one_month","Intact"
"16773","A686176","Stray","Normal",2,"Cat","Male",0.246575342465753,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.2,0,0,0,"under_one_month","Intact"
"16774","A686204","Owner Surrender","Aged",2,"Cat","Male",19,"(17.5, 20.0]","Domestic Shorthair Mix","Brown Tabby","Transfer",19,0,0,0,"under_one_month","Fixed"
"16775","A686215","Stray","Normal",46,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Shorthair Mix","White","Transfer",0.1,2,7,1,"over one month","Intact"
"16776","A686270","Public Assist","Sick",3,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Medium Hair Mix","White","Return to Owner",0.1,0,0,0,"under_one_month","Intact"
"16777","A686280","Stray","Normal",4,"Dog","Female",0.0821917808219178,"(-0.025, 2.5]","Border Terrier Mix","Black","Adoption",0.1,0,1,0,"under_one_month","Intact"
"16778","A686296","Stray","Normal",10,"Dog","Female",0.410958904109589,"(-0.025, 2.5]","Pit Bull Mix","Black","Euthanasia",0.4,0,1,0,"under_one_month","Fixed"
"16779","A686300","Stray","Normal",2,"Dog","Male",1,"(-0.025, 2.5]","Pit Bull Mix","White","Return to Owner",1,0,0,0,"under_one_month","Intact"
"16780","A686316","Public Assist","Normal",0,"Dog","Male",7,"(5.0, 7.5]","Pomeranian Mix","White","Return to Owner",7,0,0,0,"under_one_month","Fixed"
"16781","A686323","Stray","Normal",35,"Dog","Female",0.410958904109589,"(-0.025, 2.5]","Catahoula Mix","Chocolate","Adoption",0.4,1,5,1,"one_month","Fixed"
"16782","A686334","Public Assist","Injured",11,"Dog","Male",6,"(5.0, 7.5]","Pit Bull Mix","Brown","Return to Owner",6,0,2,0,"under_one_month","Fixed"
"16783","A686390","Stray","Normal",4,"Dog","Male",0.328767123287671,"(-0.025, 2.5]","Anatol Shepherd","Tan","Adoption",0.3,0,1,0,"under_one_month","Intact"
"16784","A686398","Stray","Normal",0,"Dog","Male",0.0821917808219178,"(-0.025, 2.5]","Plott Hound Mix","Black","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16785","A686407","Stray","Normal",1,"Dog","Female",4,"(2.5, 5.0]","Chihuahua Longhair","Black","Return to Owner",4,0,0,0,"under_one_month","Fixed"
"16786","A686415","Public Assist","Normal",10,"Dog","Male",1,"(-0.025, 2.5]","Flat Coat Retriever Mix","Black","Return to Owner",1,0,1,0,"under_one_month","Intact"
"16787","A686456","Stray","Normal",1,"Cat","Female",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Torbie","Transfer",1,0,0,0,"under_one_month","Intact"
"16788","A686462","Stray","Normal",20,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Medium Hair Mix","Black Smoke","Adoption",0.1,1,3,1,"one_month","Intact"
"16789","A686465","Stray","Normal",1,"Cat","Male",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Transfer",1,0,0,0,"under_one_month","Fixed"
"16790","A686482","Owner Surrender","Normal",3,"Dog","Female",0.164383561643836,"(-0.025, 2.5]","Pit Bull Mix","Brown","Adoption",0.2,0,0,0,"under_one_month","Intact"
"16791","A686504","Stray","Normal",5,"Dog","Female",0.575342465753425,"(-0.025, 2.5]","Cairn Terrier","Tan","Adoption",0.6,0,1,0,"under_one_month","Fixed"
"16792","A686526","Stray","Normal",0,"Cat","Male",0.010958904109589,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0,0,0,0,"under_one_month","Intact"
"16793","A686535","Stray","Normal",1,"Cat","Male",0.575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Transfer",0.6,0,0,0,"under_one_month","Intact"
"16794","A686544","Stray","Normal",4,"Dog","Female",5,"(2.5, 5.0]","Shih Tzu","Cream","Adoption",5,0,1,0,"under_one_month","Intact"
"16795","A686551","Stray","Normal",1,"Cat","Female",0.00821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Transfer",0,0,0,0,"under_one_month","Intact"
"16796","A686563","Stray","Normal",0,"Cat","Male",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16797","A686596","Stray","Injured",15,"Dog","Female",0.0821917808219178,"(-0.025, 2.5]","Pit Bull Mix","Black Brindle","Transfer",0.1,0,2,0,"under_one_month","Intact"
"16798","A686601","Stray","Normal",21,"Cat","Female",3,"(2.5, 5.0]","Angora Mix","Calico","Adoption",3,1,3,1,"one_month","Fixed"
"16799","A686619","Stray","Normal",36,"Cat","Male",0.010958904109589,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Died",0,1,5,1,"one_month","Intact"
"16800","A686668","Owner Surrender","Normal",3,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue","Adoption",0.2,0,0,0,"under_one_month","Intact"
"16801","A686681","Stray","Normal",112,"Dog","Male",7,"(5.0, 7.5]","Dutch Shepherd","Yellow Brindle","Adoption",7,4,16,1,"over one month","Fixed"
"16802","A686691","Stray","Normal",4,"Dog","Male",3,"(2.5, 5.0]","Labrador Retriever Mix","Yellow","Transfer",3,0,1,0,"under_one_month","Intact"
"16803","A686692","Public Assist","Normal",0,"Dog","Male",4,"(2.5, 5.0]","Toy Poodle Mix","Black","Return to Owner",4,0,0,0,"under_one_month","Fixed"
"16804","A686697","Owner Surrender","Normal",28,"Dog","Male",3,"(2.5, 5.0]","Chihuahua Shorthair Mix","Tan","Transfer",3,1,4,1,"one_month","Fixed"
"16805","A686700","Stray","Normal",5,"Dog","Male",0.493150684931507,"(-0.025, 2.5]","Smooth Fox Terrier Mix","White","Adoption",0.5,0,1,0,"under_one_month","Intact"
"16806","A686701","Stray","Normal",1,"Cat","Female",0.410958904109589,"(-0.025, 2.5]","Domestic Shorthair Mix","White","Transfer",0.4,0,0,0,"under_one_month","Intact"
"16807","A686704","Owner Surrender","Normal",5,"Dog","Female",5,"(2.5, 5.0]","Chihuahua Shorthair","Chocolate","Adoption",5,0,1,0,"under_one_month","Fixed"
"16808","A686747","Stray","Normal",0,"Cat","Male",0.0383561643835617,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Transfer",0,0,0,0,"under_one_month","Intact"
"16809","A686761","Stray","Normal",4,"Dog","Female",2,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Brown","Adoption",2,0,1,0,"under_one_month","Fixed"
"16810","A686797","Owner Surrender","Normal",0,"Cat","Female",0.328767123287671,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue Tabby","Adoption",0.3,0,0,0,"under_one_month","Fixed"
"16811","A686806","Stray","Normal",4,"Dog","Male",0.0821917808219178,"(-0.025, 2.5]","Standard Poodle Mix","Black","Adoption",0.1,0,1,0,"under_one_month","Intact"
"16812","A686831","Stray","Normal",0,"Cat","Female",0.0575342465753425,"(-0.025, 2.5]","Siamese","Lilac Point","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16813","A686837","Owner Surrender","Normal",3,"Dog","Female",8,"(7.5, 10.0]","Miniature Poodle Mix","Cream","Adoption",8,0,0,0,"under_one_month","Fixed"
"16814","A686838","Owner Surrender","Normal",10,"Cat","Male",5,"(2.5, 5.0]","Munchkin Shorthair Mix","Brown Tabby","Adoption",5,0,1,0,"under_one_month","Fixed"
"16815","A686840","Owner Surrender","Normal",177,"Cat","Female",7,"(5.0, 7.5]","Snowshoe Mix","Seal Point","Adoption",7,6,25,1,"over one month","Fixed"
"16816","A686845","Stray","Normal",49,"Dog","Female",1,"(-0.025, 2.5]","Pit Bull Mix","White","Adoption",1,2,7,1,"over one month","Fixed"
"16817","A686861","Stray","Sick",0,"Cat","Female",2,"(-0.025, 2.5]","Domestic Shorthair Mix","Cream Tabby","Euthanasia",2,0,0,0,"under_one_month","Fixed"
"16818","A686867","Stray","Nursing",0,"Cat","Male",0.00547945205479452,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Transfer",0,0,0,0,"under_one_month","Intact"
"16819","A686879","Stray","Normal",0,"Cat","Female",0.010958904109589,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Transfer",0,0,0,0,"under_one_month","Intact"
"16820","A686885","Stray","Normal",0,"Cat","Male",0.0191780821917808,"(-0.025, 2.5]","Siamese Mix","Calico Point","Transfer",0,0,0,0,"under_one_month","Intact"
"16821","A686925","Public Assist","Normal",11,"Dog","Male",2,"(-0.025, 2.5]","Shih Tzu Mix","White","Return to Owner",2,0,2,0,"under_one_month","Intact"
"16822","A686939","Stray","Normal",0,"Cat","Male",0.0767123287671233,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16823","A686960","Stray","Normal",3,"Dog","Male",1,"(-0.025, 2.5]","Mastiff Mix","Tan","Return to Owner",1,0,0,0,"under_one_month","Intact"
"16824","A686962","Stray","Normal",12,"Dog","Female",1,"(-0.025, 2.5]","Mastiff Mix","Black Brindle","Euthanasia",1,0,2,0,"under_one_month","Intact"
"16825","A686974","Stray","Normal",21,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Russian Blue Mix","Blue","Adoption",0.1,1,3,1,"one_month","Intact"
"16826","A686978","Stray","Normal",1,"Cat","Male",0.410958904109589,"(-0.025, 2.5]","Siamese Mix","Seal Point","Transfer",0.4,0,0,0,"under_one_month","Intact"
"16827","A686987","Stray","Normal",1,"Dog","Female",1,"(-0.025, 2.5]","Pointer Mix","Chocolate","Return to Owner",1,0,0,0,"under_one_month","Fixed"
"16828","A686998","Stray","Normal",0,"Cat","Female",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16829","A687009","Stray","Normal",0,"Cat","Male",0.0191780821917808,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Transfer",0,0,0,0,"under_one_month","Intact"
"16830","A687035","Stray","Normal",11,"Dog","Male",8,"(7.5, 10.0]","German Shepherd Mix","Black","Return to Owner",8,0,2,0,"under_one_month","Fixed"
"16831","A687063","Owner Surrender","Normal",19,"Cat","Male",2,"(-0.025, 2.5]","Domestic Shorthair Mix","Cream Tabby","Transfer",2,1,3,1,"one_month","Fixed"
"16832","A687064","Stray","Normal",1,"Cat","Female",0.246575342465753,"(-0.025, 2.5]","Domestic Medium Hair Mix","Brown Tabby","Transfer",0.2,0,0,0,"under_one_month","Intact"
"16833","A687074","Stray","Normal",23,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Medium Hair Mix","Black","Adoption",0.1,1,3,1,"one_month","Intact"
"16834","A687078","Stray","Normal",1,"Dog","Male",0.575342465753425,"(-0.025, 2.5]","Pit Bull Mix","Black","Return to Owner",0.6,0,0,0,"under_one_month","Intact"
"16835","A687082","Stray","Sick",1,"Cat","Female",0.328767123287671,"(-0.025, 2.5]","Domestic Shorthair Mix","Torbie","Euthanasia",0.3,0,0,0,"under_one_month","Intact"
"16836","A687084","Stray","Normal",4,"Dog","Male",3,"(2.5, 5.0]","Chow Chow Mix","Tan","Transfer",3,0,1,0,"under_one_month","Intact"
"16837","A687105","Owner Surrender","Normal",1,"Cat","Male",2,"(-0.025, 2.5]","Siamese Mix","Flame Point","Transfer",2,0,0,0,"under_one_month","Fixed"
"16838","A687130","Stray","Normal",0,"Dog","Female",0.0191780821917808,"(-0.025, 2.5]","Labrador Retriever Mix","Brown","Transfer",0,0,0,0,"under_one_month","Intact"
"16839","A687155","Public Assist","Normal",17,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.2,1,2,1,"one_month","Intact"
"16840","A687205","Stray","Normal",12,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Medium Hair Mix","Orange Tabby","Adoption",0.2,0,2,0,"under_one_month","Intact"
"16841","A687213","Stray","Normal",46,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Medium Hair Mix","Brown Tabby","Adoption",0.1,2,7,1,"over one month","Intact"
"16842","A687253","Owner Surrender","Normal",1,"Dog","Female",0.493150684931507,"(-0.025, 2.5]","Miniature Schnauzer","Gray","Transfer",0.5,0,0,0,"under_one_month","Fixed"
"16843","A687263","Owner Surrender","Normal",1,"Dog","Female",0.493150684931507,"(-0.025, 2.5]","Miniature Schnauzer","Black","Transfer",0.5,0,0,0,"under_one_month","Fixed"
"16844","A687280","Owner Surrender","Normal",2,"Cat","Male",0.0767123287671233,"(-0.025, 2.5]","Domestic Shorthair Mix","Cream Tabby","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16845","A687316","Stray","Injured",23,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Brown","Transfer",2,1,3,1,"one_month","Intact"
"16846","A687321","Stray","Normal",0,"Cat","Unknown",0.00547945205479452,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0,0,0,0,"under_one_month","Unknown"
"16847","A687331","Stray","Normal",4,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Snowshoe Mix","Seal Point","Euthanasia",0.2,0,1,0,"under_one_month","Intact"
"16848","A687335","Stray","Normal",0,"Cat","Female",1,"(-0.025, 2.5]","Domestic Longhair Mix","Black Smoke","Transfer",1,0,0,0,"under_one_month","Intact"
"16849","A687336","Stray","Normal",0,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Medium Hair Mix","Brown Tabby","Transfer",0.1,0,0,0,"under_one_month","Intact"
"16850","A687373","Owner Surrender","Normal",27,"Dog","Male",4,"(2.5, 5.0]","Chihuahua Shorthair Mix","Brown","Transfer",4,1,4,1,"one_month","Fixed"
"16851","A687390","Stray","Normal",2,"Cat","Unknown",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Transfer",1,0,0,0,"under_one_month","Unknown"
"16852","A687400","Owner Surrender","Normal",3,"Cat","Female",0.246575342465753,"(-0.025, 2.5]","Siamese Mix","Lynx Point","Adoption",0.2,0,0,0,"under_one_month","Intact"
"16853","A687407","Stray","Normal",5,"Cat","Male",3,"(2.5, 5.0]","Domestic Shorthair Mix","Orange Tabby","Adoption",3,0,1,0,"under_one_month","Fixed"
"16854","A687417","Stray","Normal",4,"Dog","Male",0.493150684931507,"(-0.025, 2.5]","Chihuahua Shorthair","Tan","Adoption",0.5,0,1,0,"under_one_month","Intact"
"16855","A687420","Stray","Nursing",0,"Cat","Male",0.00547945205479452,"(-0.025, 2.5]","Domestic Shorthair Mix","Cream Tabby","Transfer",0,0,0,0,"under_one_month","Intact"
"16856","A687496","Stray","Normal",0,"Cat","Unknown",0.00821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Transfer",0,0,0,0,"under_one_month","Unknown"
"16857","A687506","Public Assist","Normal",5,"Dog","Female",1,"(-0.025, 2.5]","Chihuahua Shorthair Mix","White","Return to Owner",1,0,1,0,"under_one_month","Intact"
"16858","A687516","Owner Surrender","Normal",13,"Cat","Female",0.493150684931507,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Transfer",0.5,0,2,0,"under_one_month","Intact"
